diplome,etablissement,discipline,situation,taux_de_reponse,poids_de_la_discipline,taux_dinsertion,emplois_cadre_ou_professions_intermediaires,emplois_stables,emplois_a_temps_plein,salaire_brut_annuel_estime,taux_de_chomage_regional
MASTER LMD,Paris 3 - Sorbonne Nouvelle,"Lettres, langues, arts",18 mois après le diplôme,61.0,57.0,92.0,72.0,58.0,83.0,23400.0,7.1
MASTER LMD,Paris 3 - Sorbonne Nouvelle,"Lettres, langues, arts",30 mois après le diplôme,61.0,57.0,91.0,80.0,66.0,87.0,28100.0,7.1
MASTER ENS,Sorbonne Université,Masters enseignement,30 mois après le diplôme,53.0,100.0,99.0,98.0,97.0,95.0,28300.0,7.1
MASTER LMD,Sorbonne Université,"Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,62.0,1.0,,,,,,7.1
MASTER LMD,Sorbonne Université,Informatique,18 mois après le diplôme,64.0,11.0,99.0,93.0,89.0,99.0,37400.0,7.1
MASTER LMD,Sorbonne Université,"Autres sciences, technologies et santé",18 mois après le diplôme,62.0,10.0,96.0,100.0,79.0,100.0,36500.0,7.1
MASTER LMD,Université de Paris,"Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,59.0,15.0,97.0,98.0,89.0,99.0,37400.0,7.1
MASTER LMD,Université de Paris,"Ensemble sciences, technologies et santé",30 mois après le diplôme,68.0,33.0,98.0,97.0,81.0,98.0,38100.0,7.1
MASTER LMD,Université de Paris,Sciences de la vie et de la terre,18 mois après le diplôme,71.0,13.0,90.0,99.0,52.0,97.0,33100.0,7.1
MASTER LMD,Université de Paris,Sciences de la vie et de la terre,30 mois après le diplôme,71.0,13.0,99.0,97.0,70.0,96.0,37300.0,7.1
MASTER LMD,Université de Paris,Informatique,18 mois après le diplôme,70.0,6.0,100.0,100.0,100.0,100.0,37000.0,7.1
MASTER ENS,Rouen,Masters enseignement,18 mois après le diplôme,69.0,100.0,98.0,98.0,89.0,93.0,26500.0,8.0
MASTER LMD,Rouen,Économie,18 mois après le diplôme,83.0,3.0,,,,,,8.0
