etablissement,diplome_MASTER ENS,diplome_MASTER LMD,"discipline_Autres formations juridiques, économiques et de gestion",discipline_Autres sciences humaines et sociales,"discipline_Autres sciences, technologies et santé",discipline_Droit,"discipline_Ensemble formations juridiques, économiques et de gestion",discipline_Ensemble sciences humaines et sociales,"discipline_Ensemble sciences, technologies et santé",discipline_Gestion,discipline_Histoire-géographie,discipline_Information communication,discipline_Informatique,"discipline_Lettres, langues, arts",discipline_Masters enseignement,discipline_Masters enseignement : premier degré,"discipline_Masters enseignement : second degré, CPE...",discipline_Psychologie,discipline_Sciences de l'ingénieur,discipline_Sciences de la vie et de la terre,discipline_Sciences fondamentales,discipline_Économie,situation_18 mois après le diplôme,situation_30 mois après le diplôme,taux_de_reponse_categorie_C1,taux_de_reponse_categorie_C10,taux_de_reponse_categorie_C2,taux_de_reponse_categorie_C3,taux_de_reponse_categorie_C4,taux_de_reponse_categorie_C5,taux_de_reponse_categorie_C6,taux_de_reponse_categorie_C7,taux_de_reponse_categorie_C8,taux_de_reponse_categorie_C9,poids_de_la_discipline_categorie_C1,poids_de_la_discipline_categorie_C10,poids_de_la_discipline_categorie_C2,poids_de_la_discipline_categorie_C3,poids_de_la_discipline_categorie_C4,poids_de_la_discipline_categorie_C5,poids_de_la_discipline_categorie_C6,poids_de_la_discipline_categorie_C7,poids_de_la_discipline_categorie_C8,poids_de_la_discipline_categorie_C9,taux_dinsertion_categorie_C10,taux_dinsertion_categorie_C2,taux_dinsertion_categorie_C3,taux_dinsertion_categorie_C4,taux_dinsertion_categorie_C5,taux_dinsertion_categorie_C6,taux_dinsertion_categorie_C7,taux_dinsertion_categorie_C8,taux_dinsertion_categorie_C9,emplois_cadre_ou_professions_intermediaires_categorie_C1,emplois_cadre_ou_professions_intermediaires_categorie_C10,emplois_cadre_ou_professions_intermediaires_categorie_C2,emplois_cadre_ou_professions_intermediaires_categorie_C3,emplois_cadre_ou_professions_intermediaires_categorie_C4,emplois_cadre_ou_professions_intermediaires_categorie_C5,emplois_cadre_ou_professions_intermediaires_categorie_C6,emplois_cadre_ou_professions_intermediaires_categorie_C7,emplois_cadre_ou_professions_intermediaires_categorie_C8,emplois_cadre_ou_professions_intermediaires_categorie_C9,emplois_stables_categorie_C1,emplois_stables_categorie_C10,emplois_stables_categorie_C2,emplois_stables_categorie_C3,emplois_stables_categorie_C4,emplois_stables_categorie_C5,emplois_stables_categorie_C6,emplois_stables_categorie_C7,emplois_stables_categorie_C8,emplois_stables_categorie_C9,emplois_a_temps_plein_categorie_C1,emplois_a_temps_plein_categorie_C10,emplois_a_temps_plein_categorie_C2,emplois_a_temps_plein_categorie_C3,emplois_a_temps_plein_categorie_C4,emplois_a_temps_plein_categorie_C5,emplois_a_temps_plein_categorie_C6,emplois_a_temps_plein_categorie_C7,emplois_a_temps_plein_categorie_C8,emplois_a_temps_plein_categorie_C9,salaire_brut_annuel_estime_categorie_C1,salaire_brut_annuel_estime_categorie_C10,salaire_brut_annuel_estime_categorie_C2,salaire_brut_annuel_estime_categorie_C3,salaire_brut_annuel_estime_categorie_C4,salaire_brut_annuel_estime_categorie_C5,salaire_brut_annuel_estime_categorie_C6,salaire_brut_annuel_estime_categorie_C7,salaire_brut_annuel_estime_categorie_C8,salaire_brut_annuel_estime_categorie_C9,taux_de_chomage_regional_categorie_C1,taux_de_chomage_regional_categorie_C10,taux_de_chomage_regional_categorie_C2,taux_de_chomage_regional_categorie_C3,taux_de_chomage_regional_categorie_C4,taux_de_chomage_regional_categorie_C5,taux_de_chomage_regional_categorie_C6,taux_de_chomage_regional_categorie_C7,taux_de_chomage_regional_categorie_C8,taux_de_chomage_regional_categorie_C9,Total
Aix-Marseille,21,282,2,20,20,20,20,20,20,20,0,20,7,20,19,1,1,17,20,20,16,20,133,170,0,0,0,0,34,77,64,88,40,0,17,18,148,23,36,39,3,15,4,0,11,5,16,31,51,61,74,27,27,0,14,6,10,25,38,88,64,29,29,8,15,25,35,41,32,41,42,43,21,0,30,2,6,7,20,34,47,73,84,22,0,47,43,51,30,53,28,25,4,0,0,0,60,62,61,120,0,0,0,3333
Amiens - Picardie Jules-Verne,19,117,0,1,6,2,19,19,19,8,0,8,5,4,18,1,0,12,8,3,0,3,51,85,0,2,0,8,26,27,10,15,28,20,0,17,3,31,33,22,21,9,0,0,28,0,2,0,7,9,35,17,38,0,2,0,3,6,11,29,27,31,27,1,21,7,9,9,11,12,21,21,24,0,32,0,0,4,11,12,15,13,49,2,0,14,26,22,27,17,13,12,3,0,0,0,0,27,35,58,16,0,0,1496
Angers,8,144,4,9,11,0,20,20,20,20,0,0,0,4,7,1,0,6,5,18,0,7,66,86,0,0,0,1,1,16,23,40,39,32,0,6,29,43,18,20,4,11,19,2,6,2,3,4,10,30,54,21,22,0,5,3,12,13,21,22,32,13,31,15,1,15,15,20,13,13,29,18,13,0,35,1,5,10,8,8,13,28,44,21,0,32,40,23,15,13,6,2,0,45,0,43,14,50,0,0,0,0,0,1672
Antilles,6,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,5,0,2,0,0,0,0,0,2,4,0,0,6,0,0,0,0,0,1,1,0,0,1,1,0,0,3,0,2,1,0,1,0,1,0,1,0,1,0,4,0,0,0,3,0,0,1,2,2,0,0,2,0,0,0,0,0,1,4,1,0,0,0,0,0,1,1,2,0,4,0,5,0,0,0,0,0,0,3,0,88
Artois,9,78,6,0,0,0,20,3,19,8,0,0,0,7,7,1,1,0,15,0,0,0,38,49,0,0,0,0,2,0,10,17,50,8,0,6,0,3,22,26,22,6,1,1,13,0,0,1,8,9,24,18,14,0,15,0,4,5,6,11,14,10,22,2,17,2,2,2,4,12,12,16,18,0,31,0,0,0,1,6,6,19,24,6,0,7,12,11,5,27,15,4,0,0,0,0,0,15,20,26,23,3,0,957
Avignon,0,22,0,0,1,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,2,5,6,6,3,0,0,0,0,0,2,7,13,0,0,1,0,0,2,4,3,10,1,1,0,1,0,1,3,0,3,2,5,7,0,2,2,0,2,0,2,5,4,5,0,6,0,0,0,0,1,1,1,13,0,0,2,2,1,7,7,2,1,0,0,0,0,7,5,5,5,0,0,0,242
Besançon - Franche-Comté,21,94,0,0,7,7,20,15,20,13,0,0,2,4,19,1,1,0,5,1,0,0,48,67,0,0,0,0,7,11,10,42,32,13,0,18,0,19,35,13,25,5,0,0,11,0,4,1,11,16,24,16,32,0,3,4,10,13,9,22,24,21,9,0,8,6,6,12,8,11,19,22,23,0,22,0,0,3,10,11,16,26,27,8,0,13,27,23,13,21,8,2,0,43,0,26,8,20,18,0,0,0,0,1265
Bordeaux,20,214,0,4,15,18,18,18,18,18,0,0,18,0,18,1,1,16,18,18,17,18,101,133,0,0,0,0,2,8,18,56,104,46,1,17,86,51,34,9,6,28,2,0,18,1,2,2,17,37,79,44,34,0,30,1,4,2,9,35,41,56,56,8,20,7,18,19,24,39,33,35,31,0,62,1,7,13,9,13,6,34,89,7,0,20,26,32,34,53,32,26,4,54,0,53,52,23,52,0,0,0,0,2574
Bordeaux - Montaigne,8,85,0,19,0,0,0,20,0,0,7,20,0,19,8,0,0,0,0,0,0,0,40,53,0,0,0,0,0,4,7,29,48,5,0,8,0,0,16,30,19,0,5,15,7,0,13,13,22,12,17,6,3,0,6,1,8,6,17,18,19,8,10,8,8,21,35,16,4,0,1,0,0,0,5,0,2,3,11,22,29,15,6,25,0,31,19,11,5,2,0,0,0,19,0,18,23,9,24,0,0,0,0,1023
Bordeaux 1 - Sciences technologies,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,0,0,2,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,55
